21 81
-1.602298473768241e-02 4.426749346610215e-02 0.000000000000000e+00
-1.534210424870253e-02 4.527919739484787e-02 0.000000000000000e+00
-1.542753169778735e-02 -4.316005110740662e-02 0.000000000000000e+00
-1.609936956762104e-02 -4.218559734399863e-02 0.000000000000000e+00
-1.676516159721004e-02 -4.120643779094664e-02 0.000000000000000e+00
-1.742462686711466e-02 -4.022246702192833e-02 0.000000000000000e+00
-1.807746512703950e-02 -3.923357372015589e-02 0.000000000000000e+00
-1.872249511087003e-02 -3.823910204146059e-02 0.000000000000000e+00
-1.935985771642392e-02 -3.723924813000713e-02 0.000000000000000e+00
-1.998953848164926e-02 -3.623410671973053e-02 0.000000000000000e+00
-2.061055930749370e-02 -3.522319669025676e-02 0.000000000000000e+00
-2.122219727677169e-02 -3.420621602822094e-02 0.000000000000000e+00
-2.182498751520142e-02 -3.318360973539095e-02 0.000000000000000e+00
-2.241734418319074e-02 -3.215461015064554e-02 0.000000000000000e+00
-2.299923969049355e-02 -3.111935864762607e-02 0.000000000000000e+00
-2.357059334453730e-02 -3.007797014368456e-02 0.000000000000000e+00
-2.412943076222993e-02 -2.902956764227724e-02 0.000000000000000e+00
-2.467717134017313e-02 -2.797507901636378e-02 0.000000000000000e+00
-2.521067326059216e-02 -2.691311786108372e-02 0.000000000000000e+00
-2.573203040656916e-02 -2.584493508803071e-02 0.000000000000000e+00
-2.623773387061839e-02 -2.476909166008079e-02 0.000000000000000e+00
-2.672974901042267e-02 -2.368675444668839e-02 0.000000000000000e+00
-2.720507483660632e-02 -2.259684887630834e-02 0.000000000000000e+00
-2.766456007414852e-02 -2.150004745156223e-02 0.000000000000000e+00
-2.810690542109266e-02 -2.039610287348505e-02 0.000000000000000e+00
-2.853056643516803e-02 -1.928476420520610e-02 0.000000000000000e+00
-2.893620339418122e-02 -1.816663027599530e-02 0.000000000000000e+00
-2.932172074497690e-02 -1.704132047669813e-02 0.000000000000000e+00
-2.968635463460520e-02 -1.590901489510654e-02 0.000000000000000e+00
-3.003022995403723e-02 -1.477017629556021e-02 0.000000000000000e+00
-3.035223394647764e-02 -1.362490010575134e-02 0.000000000000000e+00
-3.064998742973358e-02 -1.247304498129867e-02 0.000000000000000e+00
-3.092433580070375e-02 -1.131536713566157e-02 0.000000000000000e+00
-3.117444019801602e-02 -1.015218041707759e-02 0.000000000000000e+00
-3.139950275026314e-02 -8.983854980311701e-03 0.000000000000000e+00
-3.159785442550501e-02 -7.810674440229430e-03 0.000000000000000e+00
-3.176925347942049e-02 -6.633246127693509e-03 0.000000000000000e+00
-3.191364160434372e-02 -5.452194805128593e-03 0.000000000000000e+00
-3.203050796881658e-02 -4.268093358629651e-03 0.000000000000000e+00
-3.211941429722209e-02 -3.081551474621879e-03 0.000000000000000e+00
-3.218003788785322e-02 -1.893212105447661e-03 0.000000000000000e+00
-3.221153274195078e-02 -7.037330962639924e-04 0.000000000000000e+00
-3.221385087291811e-02 4.861576971505048e-04 0.000000000000000e+00
-3.218753950964577e-02 1.675753197032964e-03 0.000000000000000e+00
-3.213269867882834e-02 2.864371775828517e-03 0.000000000000000e+00
-3.204953981194408e-02 4.051345308713479e-03 0.000000000000000e+00
-3.193836922331151e-02 5.236027181851231e-03 0.000000000000000e+00
-3.179960964406279e-02 6.417802783525648e-03 0.000000000000000e+00
-3.163241303492855e-02 7.595885738187281e-03 0.000000000000000e+00
-3.143863101133781e-02 8.769866761852606e-03 0.000000000000000e+00
-3.121897013362848e-02 9.939263915152610e-03 0.000000000000000e+00
-3.097415828314463e-02 1.110364220578603e-02 0.000000000000000e+00
-3.070492541188214e-02 1.226260899898594e-02 0.000000000000000e+00
-3.041041653533361e-02 1.341538860991442e-02 0.000000000000000e+00
-3.009319307991049e-02 1.456208119484547e-02 0.000000000000000e+00
-2.975414874513789e-02 1.570247520767491e-02 0.000000000000000e+00
-2.939349581469456e-02 1.683618542505082e-02 0.000000000000000e+00
-2.901140490394544e-02 1.796279542129152e-02 0.000000000000000e+00
-2.861021864080419e-02 1.908267809052904e-02 0.000000000000000e+00
-2.819005020232981e-02 2.019551336620119e-02 0.000000000000000e+00
-2.775101059615150e-02 2.130095394058106e-02 0.000000000000000e+00
-2.729557436614338e-02 2.239963981493883e-02 0.000000000000000e+00
-2.682261190157991e-02 2.349079484415804e-02 0.000000000000000e+00
-2.633440017723208e-02 2.457507867905709e-02 0.000000000000000e+00
-2.583094545628709e-02 2.565223561029966e-02 0.000000000000000e+00
-2.531311512314768e-02 2.672239506946730e-02 0.000000000000000e+00
-2.478171871169746e-02 2.778571187817018e-02 0.000000000000000e+00
-2.423726042233459e-02 2.884220442854623e-02 0.000000000000000e+00
-2.368035632819965e-02 2.989198042326092e-02 0.000000000000000e+00
-2.311207360973750e-02 3.093540136646103e-02 0.000000000000000e+00
-2.253196767521985e-02 3.197204975313114e-02 0.000000000000000e+00
-2.194206699003765e-02 3.300286788028779e-02 0.000000000000000e+00
-2.134130574226907e-02 3.402710313752268e-02 0.000000000000000e+00
-2.073126138468114e-02 3.504550703623147e-02 0.000000000000000e+00
-2.011267102266246e-02 3.605838544062701e-02 0.000000000000000e+00
-1.948453672367244e-02 3.706501206111030e-02 0.000000000000000e+00
-1.884857625108393e-02 3.806630336089092e-02 0.000000000000000e+00
-1.820520618871738e-02 3.906241525585807e-02 0.000000000000000e+00
-1.755419456945111e-02 4.005309923592755e-02 0.000000000000000e+00
-1.689594250132838e-02 4.103850864016922e-02 0.000000000000000e+00
-1.623130696488565e-02 4.201910640052819e-02 0.000000000000000e+00
-1.556057357881262e-02 4.299499968573849e-02 0.000000000000000e+00
-1.488401612732559e-02 4.396629398688674e-02 0.000000000000000e+00
-1.494083744473755e-02 -4.188958182930946e-02 0.000000000000000e+00
-1.560860059395109e-02 -4.095570373454674e-02 0.000000000000000e+00
-1.627028425274603e-02 -4.001639021950200e-02 0.000000000000000e+00
-1.692559169619957e-02 -3.907155276825750e-02 0.000000000000000e+00
